paragraphs,section_tag_3,title_meta_data,cross-ref,vessel_type
"15.3.1(c) Pumping and Piping (1 July 2022)%Pumps

At least two pumps, with an auto change over system, are to be provided for each propeller shaft.
 In case of multi-propeller shafts, at least one pump for each shaft is to be provided and one additional stand-by pump for the combined arrangement.
 Each pump is to be able to operate the system independently.
 Pumps are to be able to operate from both local and main control stations. 



Lubricant Piping

Independent lubrication piping systems are to be provided for each propeller shaft so as to maintain continuous operation of the vessel.
 Interconnection of lubrication piping systems is acceptable where multi-propeller shafts are used, provided appropriate isolation valves are fitted at both sides of the piping system.
 Non-metallic piping is allowed in this essential system provided it meets the requirements of category A and other machinery space. See 4-6-3/21 TABLE 1.
An emergency supply of lubricating water is to be provided in case of failure of the primary lubrication system .



Lubricant Tank (if applicable)

Tanks are to be of metallic construction. Alternatively, the designer or builder may use non-metallic construction in accordance with a recognized or international standard acceptable to ABS. Specifications for the tank, including thermal and mechanical properties and chemical and fire resistance, are to be submitted for review.
 Mounting, securing arrangements and electrical bonding arrangements are to be submitted for approval.
 Valves are to be readily accessible and controllable from the floors or gratings. Open or closed indicators are to be provided, see 4-6-2/5.11.3(a). Where the valves are power-operated, the valves are to allow for manual operation in the event of a failure of the power supply.
 Tank Vents and Sounding are to comply with 4-6-4/9 and 4-6-4/11. 



Water Filtration System

The normal operational condition is to be displayed and any failures are to be alarmed as indicated in 4-3-2/15.3.1(d) TABLE 6.
 Two independent water filtration systems are to be provided to maintain continuous operation of the vessel.
 An auto change-over system is to be provided in case of failure.%The requirements listed in 4-3-2/15.3 for pumping and piping systems associated with the water lubricated system are in addition to those listed in Part 4, Chapter 6 of these Rules.",4-3-2/15.3.1(c),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.3 System Requirements', '15.3.1 General', '15.3.1(c) Pumping and Piping (1 July 2022)']",4-6-2/5.11.3(a),all vessels
"15.3.1(c) Pumping and Piping (1 July 2022)%Pumps

At least two pumps, with an auto change over system, are to be provided for each propeller shaft.
 In case of multi-propeller shafts, at least one pump for each shaft is to be provided and one additional stand-by pump for the combined arrangement.
 Each pump is to be able to operate the system independently.
 Pumps are to be able to operate from both local and main control stations. 



Lubricant Piping

Independent lubrication piping systems are to be provided for each propeller shaft so as to maintain continuous operation of the vessel.
 Interconnection of lubrication piping systems is acceptable where multi-propeller shafts are used, provided appropriate isolation valves are fitted at both sides of the piping system.
 Non-metallic piping is allowed in this essential system provided it meets the requirements of category A and other machinery space. See 4-6-3/21 TABLE 1.
An emergency supply of lubricating water is to be provided in case of failure of the primary lubrication system .



Lubricant Tank (if applicable)

Tanks are to be of metallic construction. Alternatively, the designer or builder may use non-metallic construction in accordance with a recognized or international standard acceptable to ABS. Specifications for the tank, including thermal and mechanical properties and chemical and fire resistance, are to be submitted for review.
 Mounting, securing arrangements and electrical bonding arrangements are to be submitted for approval.
 Valves are to be readily accessible and controllable from the floors or gratings. Open or closed indicators are to be provided, see 4-6-2/5.11.3(a). Where the valves are power-operated, the valves are to allow for manual operation in the event of a failure of the power supply.
 Tank Vents and Sounding are to comply with 4-6-4/9 and 4-6-4/11. 



Water Filtration System

The normal operational condition is to be displayed and any failures are to be alarmed as indicated in 4-3-2/15.3.1(d) TABLE 6.
 Two independent water filtration systems are to be provided to maintain continuous operation of the vessel.
 An auto change-over system is to be provided in case of failure.%The requirements listed in 4-3-2/15.3 for pumping and piping systems associated with the water lubricated system are in addition to those listed in Part 4, Chapter 6 of these Rules.",4-3-2/15.3.1(c),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.3 System Requirements', '15.3.1 General', '15.3.1(c) Pumping and Piping (1 July 2022)']",4-6-3/21 TABLE 1,all vessels
"15.3.1(c) Pumping and Piping (1 July 2022)%Pumps

At least two pumps, with an auto change over system, are to be provided for each propeller shaft.
 In case of multi-propeller shafts, at least one pump for each shaft is to be provided and one additional stand-by pump for the combined arrangement.
 Each pump is to be able to operate the system independently.
 Pumps are to be able to operate from both local and main control stations. 



Lubricant Piping

Independent lubrication piping systems are to be provided for each propeller shaft so as to maintain continuous operation of the vessel.
 Interconnection of lubrication piping systems is acceptable where multi-propeller shafts are used, provided appropriate isolation valves are fitted at both sides of the piping system.
 Non-metallic piping is allowed in this essential system provided it meets the requirements of category A and other machinery space. See 4-6-3/21 TABLE 1.
An emergency supply of lubricating water is to be provided in case of failure of the primary lubrication system .



Lubricant Tank (if applicable)

Tanks are to be of metallic construction. Alternatively, the designer or builder may use non-metallic construction in accordance with a recognized or international standard acceptable to ABS. Specifications for the tank, including thermal and mechanical properties and chemical and fire resistance, are to be submitted for review.
 Mounting, securing arrangements and electrical bonding arrangements are to be submitted for approval.
 Valves are to be readily accessible and controllable from the floors or gratings. Open or closed indicators are to be provided, see 4-6-2/5.11.3(a). Where the valves are power-operated, the valves are to allow for manual operation in the event of a failure of the power supply.
 Tank Vents and Sounding are to comply with 4-6-4/9 and 4-6-4/11. 



Water Filtration System

The normal operational condition is to be displayed and any failures are to be alarmed as indicated in 4-3-2/15.3.1(d) TABLE 6.
 Two independent water filtration systems are to be provided to maintain continuous operation of the vessel.
 An auto change-over system is to be provided in case of failure.%The requirements listed in 4-3-2/15.3 for pumping and piping systems associated with the water lubricated system are in addition to those listed in Part 4, Chapter 6 of these Rules.",4-3-2/15.3.1(c),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.3 System Requirements', '15.3.1 General', '15.3.1(c) Pumping and Piping (1 July 2022)']",4-6-4/11,all vessels
"15.3.1(c) Pumping and Piping (1 July 2022)%Pumps

At least two pumps, with an auto change over system, are to be provided for each propeller shaft.
 In case of multi-propeller shafts, at least one pump for each shaft is to be provided and one additional stand-by pump for the combined arrangement.
 Each pump is to be able to operate the system independently.
 Pumps are to be able to operate from both local and main control stations. 



Lubricant Piping

Independent lubrication piping systems are to be provided for each propeller shaft so as to maintain continuous operation of the vessel.
 Interconnection of lubrication piping systems is acceptable where multi-propeller shafts are used, provided appropriate isolation valves are fitted at both sides of the piping system.
 Non-metallic piping is allowed in this essential system provided it meets the requirements of category A and other machinery space. See 4-6-3/21 TABLE 1.
An emergency supply of lubricating water is to be provided in case of failure of the primary lubrication system .



Lubricant Tank (if applicable)

Tanks are to be of metallic construction. Alternatively, the designer or builder may use non-metallic construction in accordance with a recognized or international standard acceptable to ABS. Specifications for the tank, including thermal and mechanical properties and chemical and fire resistance, are to be submitted for review.
 Mounting, securing arrangements and electrical bonding arrangements are to be submitted for approval.
 Valves are to be readily accessible and controllable from the floors or gratings. Open or closed indicators are to be provided, see 4-6-2/5.11.3(a). Where the valves are power-operated, the valves are to allow for manual operation in the event of a failure of the power supply.
 Tank Vents and Sounding are to comply with 4-6-4/9 and 4-6-4/11. 



Water Filtration System

The normal operational condition is to be displayed and any failures are to be alarmed as indicated in 4-3-2/15.3.1(d) TABLE 6.
 Two independent water filtration systems are to be provided to maintain continuous operation of the vessel.
 An auto change-over system is to be provided in case of failure.%The requirements listed in 4-3-2/15.3 for pumping and piping systems associated with the water lubricated system are in addition to those listed in Part 4, Chapter 6 of these Rules.",4-3-2/15.3.1(c),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.3 System Requirements', '15.3.1 General', '15.3.1(c) Pumping and Piping (1 July 2022)']",4-6-4/9,all vessels
"15.3.3(a) Lubricant Source (2024)%Commentary:
Other sources may be used in case of emergency and where appropriate quality of lubricant is not available when vessel is operating in unclean water.

End of Commentary%Primarily, sea water is to be taken from the sea water main/ sea chest.",4-3-2/15.3.3(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.3 System Requirements', '15.3.3 Opened Loop System', '15.3.3(a) Lubricant Source (2024)']",standalone,all vessels
"15.3.1(e) Lubricant Sampling and Testing%A sampling point for periodical testing is to be provided after the water filtration system.
 Suitable test kits are to be provided onboard.
Testing is to be conducted as per manufacturerâs recommendations.
 For closed loop systems, an additional sampling system is to be provided in the return lubricant line, after bearing lubrication.%Sampling and testing procedures are to be available on board as follows:",4-3-2/15.3.1(e),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.3 System Requirements', '15.3.1 General', '15.3.1(e) Lubricant Sampling and Testing']",15.3.1(e),all vessels
"5.15.2(e)  (1 July 2022)%Commentary:
When EALs are used, it is recommended that they are of a higher viscosity grade than their equivalent mineral oil (e.g., a mineral oil of grade â100â or 100 cst would be equivalent to an EAL of, â150â or 150 cst).

End of Commentary%Environmentally acceptable lubricants (EALs) are biodegradable lubricants with minimal adverse impact on the marine environment. EALs that are susceptible to hydrolysis from acid due to chemical reaction with water which may cause corrosion in a stern tube system and degrade the elastomer materials of the shaft seals. The designer is to submit supporting documentation showing that EAL specifications are compatible with the shaft seal elastomer materials as confirmed by the stern tube seal manufacturer.",4-3-2/5.15.2(e),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.15 Tail Shaft Bearings ', '5.15.2 Oil-lubricated Bearings ', '5.15.2(e)  (1 July 2022)']",standalone,all vessels
"7.3.2(c)  Hull Deflections NOT Accounted for in the Analysis (2024)%Commentary:
Where cargo/ballast load changes do not significantly affect the draft of the ship, hull deflections need not be considered for the shaft alignment calculations. Supporting documentation is to be submitted for review.

End of Commentary%Where the hull deflections are not accounted for in the analysis then the shaft alignment verification is to comply with 4-3-2/11.1.2(e).iv. In no case are the calculated bearing reactions to exceed 80% of the maximum allowable manufacturerâs limit.",4-3-2/7.3.2(c),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.3 Shaft Alignment  (2024)', '7.3.2 Shaft Alignment Calculations', '7.3.2(c)  Hull Deflections NOT Accounted for in the Analysis (2024)']",4-3-2/11.1.2(e).iv,all vessels
"7.3.2(c)  Hull Deflections NOT Accounted for in the Analysis (2024)%Commentary:
Where cargo/ballast load changes do not significantly affect the draft of the ship, hull deflections need not be considered for the shaft alignment calculations. Supporting documentation is to be submitted for review.

End of Commentary%Where the hull deflections are not accounted for in the analysis then the shaft alignment verification is to comply with 4-3-2/11.1.2(e).iv. In no case are the calculated bearing reactions to exceed 80% of the maximum allowable manufacturerâs limit.",4-3-2/7.3.2(c),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.3 Shaft Alignment  (2024)', '7.3.2 Shaft Alignment Calculations', '7.3.2(c)  Hull Deflections NOT Accounted for in the Analysis (2024)']",7.3.2(c),all vessels
"7.3.2(b)  Hull Deflections Accounted for in the Analysis (2022)%Drydock or after launching draft at cold static condition


Full ballast draft at hot static condition (aft peak tank full, or to the highest level as per the vessel's loading manual)


Fully laden draft at hot static condition%The vessel conditions to be considered in the analysis are to account for the following:",4-3-2/7.3.2(b),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.3 Shaft Alignment  (2024)', '7.3.2 Shaft Alignment Calculations', '7.3.2(b)  Hull Deflections Accounted for in the Analysis (2022)']",7.3.2(b),all vessels
"A
=


D
3


5
.
1

r
m



Â·


Y
S


Y
K%Note:
Keyways are not to be used in installations with slow speed, crosshead or two-stroke engines with a barred speed range.%The key material is to be of equal or higher strength than the shaft material. The effective area of the key in shear is to be not less than A, given below. The effective area is to be the gross area subtracted by materials removed by saw cuts, set screw holes, chamfer, etc., and is to exclude the portion of the key in way of spooning of the keyway.",4-3-2/5.7,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.7 Key']",standalone,all vessels
"5.19.3(a) Flange thickness.%The fillet radius at the base of a coupling flange is not to be less than 0.08 times the actual shaft diameter. The fillets of multiple radii design are to have a cross-sectional area not less than that of a required single-radius fillet. The surface finish for fillet radii is not to be rougher than 1.6 Î¼m (63 Î¼in.) RMS. Alternatively 1.6 Î¼m CLA (center line average) is also acceptable.%The thickness of coupling flanges integral to the shaft is not to be less than the minimum required diameter of the coupling bolts or 0.2D, where D is as defined in 4-3-2/5.1, whichever is greater.",4-3-2/5.19.3(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.19 Couplings and Coupling Bolts ', '5.19.3 Flanges ', '5.19.3(a) Flange thickness.']",4-3-2/5.1,all vessels
"5.19.3(b) Flange thickness - connection to controllable pitch propeller.%For the tail shaft flange supporting the propeller the fillet radius at the base of the flange is to be at least 0.125D. For fillets of multiple-radius design, see 4-3-2/5.19.3(a). The fillet radius is to be accessible for non-destructive examination during tail shaft surveys. See 7-5-1/3.5 of the ABS Rules for Survey After Construction (Part 7).%The thickness of coupling flange integral to the tail shaft for connection to the forward face of controllable pitch propeller hub is to be not less than 0.25D, where D is as defined in 4-3-2/5.1.",4-3-2/5.19.3(b),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.19 Couplings and Coupling Bolts ', '5.19.3 Flanges ', '5.19.3(b) Flange thickness - connection to controllable pitch propeller.']",4-3-2/5.1,all vessels
"5.19.3(b) Flange thickness - connection to controllable pitch propeller.%For the tail shaft flange supporting the propeller the fillet radius at the base of the flange is to be at least 0.125D. For fillets of multiple-radius design, see 4-3-2/5.19.3(a). The fillet radius is to be accessible for non-destructive examination during tail shaft surveys. See 7-5-1/3.5 of the ABS Rules for Survey After Construction (Part 7).%The thickness of coupling flange integral to the tail shaft for connection to the forward face of controllable pitch propeller hub is to be not less than 0.25D, where D is as defined in 4-3-2/5.1.",4-3-2/5.19.3(b),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.19 Couplings and Coupling Bolts ', '5.19.3 Flanges ', '5.19.3(b) Flange thickness - connection to controllable pitch propeller.']",4-3-2/5.19.3(a),all vessels
"5.19.3(b) Flange thickness - connection to controllable pitch propeller.%For the tail shaft flange supporting the propeller the fillet radius at the base of the flange is to be at least 0.125D. For fillets of multiple-radius design, see 4-3-2/5.19.3(a). The fillet radius is to be accessible for non-destructive examination during tail shaft surveys. See 7-5-1/3.5 of the ABS Rules for Survey After Construction (Part 7).%The thickness of coupling flange integral to the tail shaft for connection to the forward face of controllable pitch propeller hub is to be not less than 0.25D, where D is as defined in 4-3-2/5.1.",4-3-2/5.19.3(b),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.19 Couplings and Coupling Bolts ', '5.19.3 Flanges ', '5.19.3(b) Flange thickness - connection to controllable pitch propeller.']",7-5-1/3.5,all vessels
"Alignment Verification.%Stern tube sighting and slope boring (as applicable) before shaft fitting


Stern tube bearing fitting pressure and push-in distance, as identified in 4-3-2/7.3.4.iii


Stern tube bearing clearance, as identified in 4-3-2/7.3.4.iii


Sag and gap


Bearing reaction%The alignment verification is to be carried out in accordance with the procedures addressed in 4-3-2/7.3.4. The alignment calculated data is to be verified and recorded, in the presence of the Surveyor for the following:",4-3-2/11.1.2(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.1 Shaft Alignment', '11.1.2 Vessels with Shafting Arrangements Identified in 4-3-2/7.3.1(a)', '\nAlignment Verification. ']",4-3-2/7.3.4,all vessels
"Alignment Verification.%Stern tube sighting and slope boring (as applicable) before shaft fitting


Stern tube bearing fitting pressure and push-in distance, as identified in 4-3-2/7.3.4.iii


Stern tube bearing clearance, as identified in 4-3-2/7.3.4.iii


Sag and gap


Bearing reaction%The alignment verification is to be carried out in accordance with the procedures addressed in 4-3-2/7.3.4. The alignment calculated data is to be verified and recorded, in the presence of the Surveyor for the following:",4-3-2/11.1.2(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.1 Shaft Alignment', '11.1.2 Vessels with Shafting Arrangements Identified in 4-3-2/7.3.1(a)', '\nAlignment Verification. ']",4-3-2/7.3.4.iii,all vessels
"Electronic speed regulating devices may be preset to step-pass the barred range in addition to the warning notice.%When a barred speed range is provided in accordance with 4-3-2/7.5.3, tachometer marking, warning notice, and alarms at remote control stations (where fitted) as described in 4-3-2/7.5.4 are to be fitted.%When the propeller is driven through reduction gears, the Surveyor is to ascertain that no gear-tooth chatter occurs throughout the operating range; otherwise a barred speed range as per 4-3-2/7.5.3 is to be provided; see 4-3-2/7.5.8.%Where torsiograph measurement is required as per 4-3-2/7.5.6, the measurement is to be taken in the presence of a Surveyor.",4-3-2/11.3.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.3 Vibration Measurement ', '11.3.1 Torsional Vibration ']",4-3-2/7.5.3,all vessels
"Electronic speed regulating devices may be preset to step-pass the barred range in addition to the warning notice.%When a barred speed range is provided in accordance with 4-3-2/7.5.3, tachometer marking, warning notice, and alarms at remote control stations (where fitted) as described in 4-3-2/7.5.4 are to be fitted.%When the propeller is driven through reduction gears, the Surveyor is to ascertain that no gear-tooth chatter occurs throughout the operating range; otherwise a barred speed range as per 4-3-2/7.5.3 is to be provided; see 4-3-2/7.5.8.%Where torsiograph measurement is required as per 4-3-2/7.5.6, the measurement is to be taken in the presence of a Surveyor.",4-3-2/11.3.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.3 Vibration Measurement ', '11.3.1 Torsional Vibration ']",4-3-2/7.5.4,all vessels
"Electronic speed regulating devices may be preset to step-pass the barred range in addition to the warning notice.%When a barred speed range is provided in accordance with 4-3-2/7.5.3, tachometer marking, warning notice, and alarms at remote control stations (where fitted) as described in 4-3-2/7.5.4 are to be fitted.%When the propeller is driven through reduction gears, the Surveyor is to ascertain that no gear-tooth chatter occurs throughout the operating range; otherwise a barred speed range as per 4-3-2/7.5.3 is to be provided; see 4-3-2/7.5.8.%Where torsiograph measurement is required as per 4-3-2/7.5.6, the measurement is to be taken in the presence of a Surveyor.",4-3-2/11.3.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.3 Vibration Measurement ', '11.3.1 Torsional Vibration ']",4-3-2/7.5.6,all vessels
"Electronic speed regulating devices may be preset to step-pass the barred range in addition to the warning notice.%When a barred speed range is provided in accordance with 4-3-2/7.5.3, tachometer marking, warning notice, and alarms at remote control stations (where fitted) as described in 4-3-2/7.5.4 are to be fitted.%When the propeller is driven through reduction gears, the Surveyor is to ascertain that no gear-tooth chatter occurs throughout the operating range; otherwise a barred speed range as per 4-3-2/7.5.3 is to be provided; see 4-3-2/7.5.8.%Where torsiograph measurement is required as per 4-3-2/7.5.6, the measurement is to be taken in the presence of a Surveyor.",4-3-2/11.3.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.3 Vibration Measurement ', '11.3.1 Torsional Vibration ']",4-3-2/7.5.8,all vessels
"15.3.1(d) Control and Instrument (1 July 2022)%Notes:

Either an individual indication or a common trouble alarm may be fitted at navigation bridge, provided the individual indication is installed at the equipment (or main control station).
For vessels not fitted with a main control station, the indication is to be installed at the equipment or other suitable location.
Where continuous monitoring system is installed.
Applicable only for ACCU Notation.%TABLE 6 Instrumentation and Alarms for TCM-W Notation (1 July 2022)



Monitored Parameter




System - Opened Loop (OL) & Closed Loop (CL)




Alarm Condition




Display




Local




Main Control Station(2)



Navigation Bridge(1,4)






Flow


OL & CL


Low/High


x


x


x


x




Pressure


OL & CL


Low/High


x


x


x


x




Diff. Pressure (Filter)


OL & CL


High


x


x


x


x




Diff. Pressure (Across S/T)


 CL


High


x


x


x


x




Bearing Temperature


OL & CL


High


x


x


x


x




Water Temperature


 CL


High


x


x


x


x




Salinity


 CL


High


x


x


x


x




Wear Down(3)


OL & CL


High


x


x


x


x




Tank Level


 CL


Low


x


x


x


x




Water filtration System


OL & CL


Failure


x


x


x


x




Pump


OL & CL


Failure


x


x


x


x




Power Circuit


OL & CL


Failure


x


x


x


x",4-3-2/15.3.1(d),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.3 System Requirements', '15.3.1 General', '15.3.1(d) Control and Instrument (1 July 2022)']",standalone,all vessels
FIGURE 12 Whirling Vibration Systems (2024),4-3-2/7.9.2(b),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.9 Whirling Vibrations', '7.9.2 Calculations ', '']",standalone,all vessels
"Clutch operating data%Construction details of torque transmitting components, housing along with their materials and dimensions.%Engineering analyses%Rated power and rpm",4-3-2/1.5.2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.5 Plans and Particulars to be Submitted ', '1.5.2 For Clutches: ']",standalone,all vessels
"7.3.1(a)  (2022)%Propulsion shafting of diameter greater than 300 mm (11.81 in.) in way of the aftmost bearing.


Propulsion shafting with no forward stern tube bearing.%Shaft alignment calculations, alignment procedures, and stern tube boring details, as applicable, are to be submitted for review for:%The calculations, alignment procedures, and stern tube boring details for these shafting arrangements are to comply with 4-3-2/7.3.2 through 4-3-2/7.3.4.",4-3-2/7.3.1(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.3 Shaft Alignment  (2024)', '7.3.1 Submission of Calculations and Procedures', '7.3.1(a)  (2022)']",4-3-2/7.3.2,all vessels
"7.3.1(a)  (2022)%Propulsion shafting of diameter greater than 300 mm (11.81 in.) in way of the aftmost bearing.


Propulsion shafting with no forward stern tube bearing.%Shaft alignment calculations, alignment procedures, and stern tube boring details, as applicable, are to be submitted for review for:%The calculations, alignment procedures, and stern tube boring details for these shafting arrangements are to comply with 4-3-2/7.3.2 through 4-3-2/7.3.4.",4-3-2/7.3.1(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.3 Shaft Alignment  (2024)', '7.3.1 Submission of Calculations and Procedures', '7.3.1(a)  (2022)']",4-3-2/7.3.3,all vessels
"7.3.1(a)  (2022)%Propulsion shafting of diameter greater than 300 mm (11.81 in.) in way of the aftmost bearing.


Propulsion shafting with no forward stern tube bearing.%Shaft alignment calculations, alignment procedures, and stern tube boring details, as applicable, are to be submitted for review for:%The calculations, alignment procedures, and stern tube boring details for these shafting arrangements are to comply with 4-3-2/7.3.2 through 4-3-2/7.3.4.",4-3-2/7.3.1(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.3 Shaft Alignment  (2024)', '7.3.1 Submission of Calculations and Procedures', '7.3.1(a)  (2022)']",4-3-2/7.3.4,all vessels
"Crankshafts: see 4-2-1/5.9,


Turbine rotor shafts: see 4-2-3/5.1, and 4-2-4/5.3


Gear shafts: see 4-3-1/5.9


Electric motor shafts: see 4-8-3/3.11


Generator shafts: see 4-8-3/3.11


Other shafts and equipment that falls under the subject criteria need to be designed considering maximum combined load acting within operating speed range of the propulsion system.%For propulsion shafts, and equipment integral to the shaft, where vibratory torque is not the only significant source of load, the stress limit S does not apply. Design criteria of such shafts are contained in the following applicable sections:%The stress limit S is applicable for propulsion shafting systems, including types of couplings, dampers, clutches, etc., where torsional vibratory torque is the only load of significance.%The torsional vibration stress in the propulsion shafting system is not to exceed the allowable vibratory stress, S, given in 4-3-2/7.5.1 TABLE 4. See 4-3-2/Figure 10 for an illustration of shafting arrangement and a representative torisonal model. The analysis of torsional vibrations is to account for stresses resulting from vector summation of responses (synthesis) of all relevant excitation harmonics.",4-3-2/7.5.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.5 Torsional Vibrations ', '7.5.1 Allowable Torsional Vibration Stress (2024)']",4-2-1/5.9,all vessels
"Crankshafts: see 4-2-1/5.9,


Turbine rotor shafts: see 4-2-3/5.1, and 4-2-4/5.3


Gear shafts: see 4-3-1/5.9


Electric motor shafts: see 4-8-3/3.11


Generator shafts: see 4-8-3/3.11


Other shafts and equipment that falls under the subject criteria need to be designed considering maximum combined load acting within operating speed range of the propulsion system.%For propulsion shafts, and equipment integral to the shaft, where vibratory torque is not the only significant source of load, the stress limit S does not apply. Design criteria of such shafts are contained in the following applicable sections:%The stress limit S is applicable for propulsion shafting systems, including types of couplings, dampers, clutches, etc., where torsional vibratory torque is the only load of significance.%The torsional vibration stress in the propulsion shafting system is not to exceed the allowable vibratory stress, S, given in 4-3-2/7.5.1 TABLE 4. See 4-3-2/Figure 10 for an illustration of shafting arrangement and a representative torisonal model. The analysis of torsional vibrations is to account for stresses resulting from vector summation of responses (synthesis) of all relevant excitation harmonics.",4-3-2/7.5.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.5 Torsional Vibrations ', '7.5.1 Allowable Torsional Vibration Stress (2024)']",4-2-3/5.1,all vessels
